,Title,Company,Job Age,Location,Job Description Link
96,Customer Service Analyst 1,Visteon Corporation,2d,Plateau,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
97,Remote Bilingual Implementation Analyst.,VIDCRUITER,19d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
98,Quality Control Analyst,Melvrick Hound,4d,Benin-City,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
99,Research Analyst,BROOT Consulting Limited,5d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
100,Full stack developer,Horizonpay Nigeria Limited,11d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
101,Data Analyst Job at Sundry Foods Limited,Sundry Foods Limited,12d,Rivers,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
102,POLICY AND RESEARCH ANALYST,MEG Consults,15d,Abuja,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
103,Data Analyst – Nigeria IHP – FCT,The Palladium Group (HQ),4d,Nigeria,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
104,Data analyst tutor,Global Institute of Project Management,7d,Ibadan,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
105,IT Business Analyst,Primeguage Solutions Limited,3d,Abuja,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
106,"Nigeria Country Director, Data.FI","Palladium Group, Inc.",3d,Abuja,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
107,Project Research Analyst,MVUSA Projekts Nigeria Limited,5d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
108,BI Analyst,JSK Consulting Group,25d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
109,"Data Analyst, Global Health Security (Program Officer)",IHV Nigeria,30d+,Abuja,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
110,"Urgent Job vacancy for Head, Deal Analysis and Investor Relations",SDIL,8d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
111,Data Analyst Job at Preston Associates International Development (PAID),Preston Associates International Development (PAID),3d,Abuja,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
112,Remote Bilingual Configuration Analyst.,VIDCRUITER,19d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
113,GIS Analyst,TechnoServe,30d+,Nigeria,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
114,Quality Systems Analyst,Cummins Inc.,30d+,Nigeria,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
115,Data Governance Analyst,GVA Partners,8d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
116,Sales Analyst,Resource Intermediaries Limited,30d,Lekki,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
117,Senior Financial Analyst,Whogohost,11d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
118,Credit Analyst,Standard Chartered,2d,Nigeria,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
119,Data Scientist,GVA Partners,28d,Lagos,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000182e3f21f6e844152366d394dcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c3f592e&cb=1661681672273&jobListingId=1008091093957&jrtk=3-0-1gbhv47skkcn8801-1gbhv47t123j4000-54cd832709cfbde0-
